period,respondent,min temp,respondent-name,fueltype,fuel,timezone,timezone-description,generation,value-units
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",WND,Wind,Central,Central,62479,megawatthours
2021-02-17,MISO,-15,"Midcontinent Independent System Operator, Inc.",WND,Wind,Arizona,Arizona,60405,megawatthours
2021-02-17,ERCO,21,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Pacific,Pacific,23100,megawatthours
2021-02-17,ERCO,21,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Mountain,Mountain,23100,megawatthours
2021-02-17,ERCO,21,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Eastern,Eastern,23100,megawatthours
2021-02-17,ERCO,21,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Central,Central,23100,megawatthours
2021-02-17,ERCO,21,"Electric Reliability Council of Texas, Inc.",SUN,Solar,Arizona,Arizona,23100,megawatthours
2021-02-17,ERCO,21,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Pacific,Pacific,725737,megawatthours
2021-02-17,ERCO,21,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Mountain,Mountain,722498,megawatthours
2021-02-17,ERCO,21,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Eastern,Eastern,715451,megawatthours
2021-02-17,ERCO,21,"Electric Reliability Council of Texas, Inc.",NG,Natural gas,Central,Central,719414,megawatthours
